entry	familiarity	concreteness	imagery	meaningfulness	age of acquisition
regular	580		320		
regulation	504	363	345	457	
reign	433	305	382	389	450
rein	440	537	478		356
rejoice	529	329	432	468	
relation	585	383	451		375
relativity	372				
relax	571		387		
relaxation	501	285	494		483
reliable	505		363		
relic	413	528	481	403	
relief	551	303	432		443
religion	565	375	434	534	
relinquish	419	289	337	380	
reluctant	481	263	373	415	
remark	558	368	321		419
remedy	480	368	370		492
remex	89	246	222	188	
reminder	543	363	328		
remittance	388	338	337		594
removal	498	346	391		406
rendezvous	390	388	477		581
renounce	429	297	362	361	
renown	383		334		
rent	547	437	469	462	425
repair	543	394	440		375
repeat	602	331	351		367
replacement	520	368	333	416	
replete	266	304	285	265	
reply	550		341		
report	590	417	411		386
representative	511	434	380		531
repress	419	345	365	368	
reprisal	395	282	294		639
reprove	364	290	301	303	
reptile	490	578	579	487	
republic	458	376	356		556
repulsive	474	336	426	462	
reputation	492	232	343		558
requirement	508	300	339	393	
rescue	532	373	456		367
research	546	366	445	489	
resentful	497		404		
resentment	440	252	352		539
residue	401	510	487		
resistance	540	358	416		503
resolution	433	265	316		550
resolved	387		278		
resort	523	499	523	469	
respect	571	280	343		433
respectable	556		385		
response	544		348		
responsibility	532	222	294		514
responsible	588		348		
responsive	515	306	347	407	
rest	590	351	396	408	222
restaurant	593	583	611		
restless	552		404		
restore	490	275	324	374	
result	623	318	324		406
resumption	372	262	264		603
retailer	429	521	445		
retain	507	308	352	410	
retard	505	345	481	433	
retention	399	280	316		592
retreat	479	367	408	390	431
retrospect	314				
return	582		293		
revealed	517		346		
revenge	489	305	429		467
revenue	401	373	330		569
review	496	388	345		547
revolt	497	400	502		
revolution	477	378	513		517
revolver	486	592	629		
reward	525	396	453		372
rhapsody	321	414	409	329	639
rheumatism	371	489	458		
rhinoceros	400				
rhombus	339	419	441	297	
rhumb	126	285	199	150	
rhyme	480	434	475		253
rib	536	599	586	434	
ribbon	480	600	563		286
rice	548	608	506	458	
rich	575	377	467	503	
rick	223	474	275		569
rickety	279		426		
riddle	489	404	455	405	
ride	576	424	483	457	
ridge	430	547	543		433
ridicule	510	310	390	488	
rifle	477	606	581	453	322
right	599	361	372	413	
righteous	433		329		
rigid	503	411	488	425	
rigidity	394	335	432		575
rim	501	511	509	394	
ring	589	593	601	516	208
rinse	480		465		
riot	490	414	548		456
ripe	534	360	490	392	
rise	546	368	451	473	
risk	517	290	405		397
rite	400	381	353	302	
ritual	403	377	474		
river	565	585	633	521	
road	604	583	609	481	206
roar	471	437	526		278
roast	536				
rob	508		465		
robber	493	545	549		
robbery	532	440	484	480	
robin	487	637	615	431	233
rock	583	600	612	482	
rocker	474	583	520	388	
rocket	525	645	612	478	
rod	504	591	549	416	278
rode	496	353	451	379	
roe	233	397	349	265	
rogue	378	424	478		444
role	524	335	385	438	
roll	547	457	496	421	
rolling	514		434		
romance	517	313	551		466
roof	552	586	604	433	
room	627	566	545	495	244
rooster	385				
root	554	558	565	443	
rope	539	608	596	441	281
rosary	410	535	464	352	
rose	556	608	623	475	
rosebud	369	593	586		369
rosin	199	521	435		
rotation	470	366	448		494
rote	249	295	264	235	
rough	557	452	491	489	
round	563	438	559	489	
route	515	440	447	482	447
routine	523		341		
rover	309		473		
rubber	547	596	599		289
rubble	407	493	482	363	
ruby	445	594	562	405	397
rudder	390	572	520	357	
rude	550		390		
ruff	329	358	327	292	
rug	557	611	591	423	233
rugged	492	384	488	471	
rule	534	286	415	442	
ruler	571	555	543		311
rum	552	600	560	532	
rumble	476	407	494	415	
rumour	503	311	353		461
rung	423	532	480		414
runner	531		546		
running	571	444	490	473	
rural	493	358	437	370	
rush	546	350	404	457	
rust	484	553	547		380
rusty	503	506	553	423	
rye	388	600	459		500
sable	351	513	419	325	
sack	539	582	548	447	
sad	589	360	419	500	
saddle	436	603	578		344
safe	531	376	474	474	
safety	556	323	397	405	339
saga	388	366	345		506
sagacity	172	211	232	226	
sage	424	462	434	337	
said	600	306	313	397	
sail	504	567	597	428	
saint	463	458	394	378	
salad	554	595	623		342
salary	527	456	452		558
sale	555	364	422	434	
salep	89	287	211	174	
salol	86	269	206	154	
saloon	381	575	608		
salt	612	594	570	397	233
saltpetre	210	525	283		656
salty	509	490	512	415	
salutation	331	454	456		
salute	479	471	538	389	
salvation	396	269	408		558
salve	329	434	391	284	
same	569	248	326	437	
sampler	397	426	378		539
sanctity	338	293	330	277	
sanctuary	449	486	481	413	
sand	519	616	603	463	217
sandal	494	609	613	487	
sandy	528	499	554	390	
sane	508	290	364	428	
sanitarium	298	565	510		606
sanitation	354	391	447		586
sap	377	540	451		464
sapphire	380	572	560	377	
sarcastic	516		419		
sardine	446	606	592	403	353
sash	385	540	488	334	
satchel	364	593	580		297
satin	470	594	561	438	
satire	477	287	370		
satisfaction	544	305	478		466
sauce	522	576	569		258
saucer	533	606	544	425	
sauerkraut	426	604	585	339	
savage	448	427	528	458	392
savant	157	293	271	143	
save	559	314	365	438	
savory	406	373	446	383	
saw	552	532	531	390	269
saxophone	453	624	602	424	519
scab	524	559	573	424	
scale	523	475	463	405	397
scar	529	552	565	416	
scarce	508	297	380	466	
scare	523	380	471	503	297
scarecrow	389				
scarlet	428	519	587	453	
scavenger	474	486	501	423	
scene	526	408	432	516	425
scent	501	462	421	430	
scheme	492	328	319	363	475
schism	231		361		
scholar	489	450	451	445	
school	582	573	599	517	228
schoolhouse	388	586	544		369
science	577	366	423	512	458
scissors	559	596	609	405	
scooter	468	565	569	374	
scorn	417	290	364		471
scornful	458		407		
scorpion	342	590	596		
scotch	518	583	590	459	
scout	452	562	578		372
scowl	464	386	456	405	
scratch	553	523	543		269
scream	522	479	589		275
screaming	519		519		
screwdriver	544	574	617	441	
scroll	350	593	572		458
scull	344	508	474	348	533
sea	537	596	606	529	
seal	482	587	563	398	328
seam	547	538	555	398	
seaman	449	563	481	380	
sear	316	292	299	259	
search	537	371	402		344
seasick	393				
season	565	445	495		328
seat	597	568	574	469	
seaweed	478	593	590	384	
second	598	344	371	397	289
secretary	528	576	563	411	456
secure	507		373		
security	513	290	391		508
sedative	423	459	459		561
seduction	423	353	521		628
see	625	352	379	525	
seed	514	611	542	467	
seedling	323		451		
seedy	354		432		
seek	506	375	335	412	
seel	301	417	341	300	
seem	549	226	249	325	
seen	576	336	351	360	
seer	253	370	309	290	611
segment	451	485	480		428
seine	246	351	367	280	
seldom	478		259		
select	543		310		
selection	523	328	311		439
self	604	459	466		328
selfish	483		359		
sell	585	342	397	495	
seller	459	444	427	369	381
selling	514	370	376	390	
semen	429	550	494	413	
semester	504	389	383		
semicircle	427	444	526		453
send	529	324	423	384	
sender	464	482	370		406
sensation	503	265	394		
sense	583	316	368	484	336
sensible	507		334		
sensitive	550		434		
sent	523	292	386	362	
sentiment	471	258	365		514
separation	504	303	435		458
sequel	338	353	323	293	556
serf	364	507	500	361	
sergeant	480	511	549	365	
serial	440	365	340	310	
series	525	373	398		461
serious	593		376		
servant	437	515	508		406
service	560	364	408		397
session	505	372	394		
settled	499		307		
settlement	482	437	457		478
settler	384	533	528		
sever	429	404	439	398	
severance	354	311	316		603
severe	526	286	352	484	
sew	517		478		
sewer	489	564	538	374	
sex	617	512	584	613	450
sexual	576		504		
shadow	536	457	565		311
shadowy	462		443		
shady	533	408	487	460	
shaker	370	472	408		433
shale	359	458	401	295	
shall	558		237		
shallow	540	330	451	415	
shame	534	287	419	457	367
shape	575	452	471	489	303
shark	516	611	602	423	
sharp	572		495		
shawl	455	606	576	432	331
she	599	406	474	487	
shear	428	456	484	367	
shed	524	611	602		231
sheep	507	622	596	444	
sheepskin	428	600	566	382	
sheer	468	397	440	410	
sheet	616	608	594		251
shell	524	597	581	415	
shelter	509		488		
shepherd	435	598	600		275
shield	464	576	556		350
shilling	337	522	476	320	
shining	558		480		
shiny	541	411	537	418	
ship	553	615	612	492	249
shirt	612	616	612	547	269
shiver	517	455	578		308
shock	560	395	471		
shoe	569	600	601	485	
shone	482	363	384	340	
shoot	536	445	494	457	
shop	615	549	561	518	236
shopper	528	497	519	423	
shore	531	574	624		
short	586	351	431	484	
shortage	554	353	405		414
shot	531	467	535	433	
should	565	249	295	374	
shoulder	553	589	577	408	264
shout	557	471	484	525	
shovel	528	581	538	418	
show	559	402	424	458	
shower	593	588	615	454	342
shown	519	315	273	288	
shriek	458	481	515	453	406
shrimp	546	629	618	474	
shrub	446	588	556		383
shrug	481	421	497		408
shutter	398	562	533		389
sick	571	404	456	500	
sickness	524	444	489	473	356
side	566	394	386	380	
siege	345	417	445		503
sigh	518	380	440		380
sight	559	393	406	490	
sigil	93	287	231	158	
sign	543	520	534	433	
signal	507	464	513		367
significant	525		261		
signify	473		298		
silence	570	352	470		333
silk	482	538	510	368	
silver	528	564	582	431	317
similar	554		324		
simile	439	395	334		
simper	275	335	329		556
simple	604	306	344	460	
sin	501	273	441	415	400
since	541	247	264	283	
sincere	529		407		
sine	353	319	377	215	
sinful	452		371		
sing	576	421	527	472	
singer	548	553	575		314
singing	507		471		
single	556		415		
sink	586	590	599	418	219
siren	431	538	578		347
sister	588	575	613	547	
sit	581	437	487	441	
site	507	408	406	415	
situation	573	311	319		457
sixpence	396	583	602		249
size	566	354	415	466	
skate	534	562	563	413	
sketch	452	535	510		411
ski	551	590	615	500	
skill	549	346	366		414
skillet	432	579	586	450	
skin	591	614	638	482	
skirt	551	614	573	445	258
skull	503	570	609	400	
skunk	519	648	652	446	
sky	607	542	618	482	
skylark	350	614	548		394
skyscraper	489	618	577	490	
slag	310	426	373	251	
slang	512	373	411	436	464
slap	521	511	542	475	
slave	418	539	564		386
slavery	512	393	517	475	
slay	481	411	454	466	
sleave	308	421	381	222	
sled	477				
sleep	610	484	530	475	
sleet	479	538	547	407	
sleeve	560	587	550	421	272
sleigh	531	613	608	455	
slept	562	383	393	377	
slice	540	443	507	438	292
slide	529	504	490	354	
slight	512		317		
slime	426	545	558	384	408
slip	537	448	497	407	
slipper	494	585	595	418	
slit	487	520	508		364
sloe	185	300	276	202	
slope	563	513	578	475	
sloppy	542		434		
slough	272	399	245		603
slovenly	297	311	404	338	
slow	602	293	377	425	
sluggish	481	343	382	385	
slumber	367	386	500		419
slush	489	570	567	415	
smack	511	451	601	481	
small	616	402	447	563	
smart	602	304	396	515	
smash	536	402	518		278
smear	480	355	415	362	
smell	582	450	477	498	
smelt	444	475	473	336	
smile	594	514	615	502	208
smoke	596	541	615	534	228
smooth	570	406	472	478	
smother	477	377	413	367	
smug	375		352		
smut	330	449	426		556
snail	489	579	577	346	
snake	501	621	627	458	289
snap	526	420	410	373	
sneer	398	371	494		467
sneeze	544	563	562	382	
snort	401	424	472		433
snow	615	618	597	503	
snub	386	280	348		522
so	597	195	227	273	
soap	594	598	600	471	222
soar	496	366	436	470	
sob	516	425	483	490	
sobriety	293	325	380		
soccer	521	524	570	484	
social	497	242	386	437	
socialist	480	443	352		
society	601	335	440		497
sock	578	581	553	378	172
sod	433	569	467	382	
soda	536	600	544	470	
sodium	403	511	423	331	
sofa	564	629	597	495	
soft	590	414	476	476	
softly	524	363	456	477	
soil	516	581	566	448	347
sold	544	310	408	423	308
soldier	517	578	578	497	275
sole	473	484	462	393	
solemn	453	322	392	446	
solemnity	361	289	314	314	597
solidify	474	363	445	407	
solution	548	388	391		506
some	578	286	302	303	
somersault	402	482	562		369
sometimes	593		259		
son	607		560		
sonata	313	491	441	349	
song	603	514	578	539	242
soon	547	261	278	307	
soot	390	563	531	385	
sop	259	373	294		536
sophisticated	446		415		
soprano	373	497	535		519
sore	544	502	486	431	
sorrow	486	282	429		394
soul	544	289	366	428	
sound	597	502	497	438	300
soup	576	615	604	435	
sour	533	458	495	433	
south	540	347	476	434	
southland	230	373	224		558
sow	428	504	479	367	
space	576	381	538	536	319
spade	513	565	578	436	
span	449	352	381	340	456
spangle	344	371	356	262	
spank	536	479	522	450	
spare	552	313	316		364
spark	505	526	539	449	
sparrow	523	629	583	470	
spasm	422	439	486		558
spatula	407	586	517	333	
speak	600	419	488	508	
speaker	554	537	549		
spear	513	584	545	403	
special	607		305		
specialist	495	487	448		517
specimen	512	481	417	405	
speck	477	484	503	381	353
speech	549	453	447		369
spell	525	376	429		292
sperm	395	578	548		597
sphere	457	489	562	426	
spice	518	590	592	452	
spicy	509	478	494	450	
spider	526	607	597	392	
spike	471	572	573	405	353
spinach	452	589	606	384	
spire	309	576	541		
spirit	518	296	450		389
spirited	425		426		
spite	459	262	405		442
spiteful	419		334		
splendid	510		383		
split	514	417	445		381
spoke	532	526	466	413	328
sponge	538	597	577	387	
spook	475	417	449	432	
spool	499	565	552	347	
spoon	612	614	584	425	186
spot	560	512	507	442	261
spout	433	468	466	295	
spray	521	514	559	415	
spree	410	333	425		531
spring	588	524	585	545	
sprint	461	411	526		428
spruce	499	568	532	448	
spurt	417	417	491		406
square	576	516	610	519	250
squeak	506	461	492	438	
squib	283	402	390	234	
squint	528	456	515	413	
squire	323	502	459		525
squirrel	511	612	642	397	
squirt	492	453	496	392	
stable	519	562	537	490	292
stadium	526	569	586	413	
staff	577	515	478		403
stain	534	535	533		311
stair	560	558	551	428	
stake	460	540	506	372	
stale	509	393	412	344	
stalk	413	474	440	388	422
stand	564	450	471	417	
standard	556	324	319		472
stanza	385	456	437		617
star	574	574	623	490	
starch	459	555	497	385	489
stare	508	365	420	405	
startle	450		410		
state	560	440	511	466	
statement	505	379	386		481
station	548	572	554	485	300
statue	444	600	562		406
stay	573	329	321	369	
steadfast	368				
steady	606		378		
steak	558	646	647	533	329
steal	562	363	448	489	
steam	545	552	591	433	308
steamer	458	591	616		
steel	553	586	534	434	
steeple	405	561	559	370	361
steerage	193	416	341		
stem	513	556	533	445	
step	578	508	483	413	267
steppe	324	479	427	252	
stern	481	349	424	435	
stethoscope	333				
stew	522	603	587	465	283
stick	528	604	517	503	
stifle	453	292	381	371	
stile	318	466	413	236	444
still	557	354	345	397	
sting	480	509	553		261
stingy	452	299	395	430	
stipend	246	396	213		650
stoat	352	621	483		417
stocking	516	551	555	390	
stoic	302	305	340		639
stole	549	342	441	459	
stomach	547	617	551	457	
stone	564	614	585	502	
stool	531	592	584	374	203
stop	563	308	452	485	
stopped	607		397		
store	562	548	506	473	
stork	393	614	570		356
storm	555	527	587	524	
story	578	427	491	518	
stout	511	413	521	492	
stove	525	591	592	487	297
straight	582	404	453	415	
strain	533	338	402		422
strand	500	442	431	419	
strange	606		378		
stranger	522	441	454		322
straw	508	603	568	436	289
strawberry	539	610	631	465	
streamer	475	518	504	315	
street	602	579	577	500	
strength	573	339	470		325
strengthen	537		341		
strict	551		383		
stride	438	409	462		439
string	566	570	556	443	
stripe	457	550	562		308
stroke	511	463	481	441	
strong	603		463		
strop	236	364	208		647
strut	368	429	437		511
stub	387	542	495		
stubborn	543		400		
student	632	549	603	549	481
studious	478		426		
stumble	536	433	485	498	
stump	447	540	490	411	372
stunt	490	393	429	378	
stupid	550	351	381	487	
style	555	344	416	510	419
stylish	486		407		
subaltern	224	417	267		675
subject	590	406	418		417
submarine	450	583	588	403	381
subsection	330	368	283		631
substance	506	479	348		483
substitute	505	400	360		464
substratum	233	363	244		661
subtle	487		294		
subtraction	515	336	413	400	
succeed	591	304	416	495	
success	568	295	443		411
succour	282	308	297		614
such	521	248	219	210	
sucker	492	404	419	437	
sudden	575		361		
suds	436	554	565		369
sue	528	432	449	395	
suede	531	578	550	393	
sufferance	369	260	326		597
suffix	444	318	254	258	
suffocate	474	391	486	387	
suffrage	371	283	317	371	
sugar	608	620	595	510	
suggestion	567	333	345		461
suit	543	545	536	452	
suite	453	534	487	362	458
sullen	374		361		
sulphur	445	591	561	370	
sultan	256	563	541		
sum	537	379	465	429	278
summer	612	439	618		253
summit	400		546		
sun	635	617	639	520	181
sunburn	501	563	629		
sunlight	523	515	643		289
sunset	539	525	633	447	
sunshine	627	527	655		206
superfluity	249	237	232		647
superior	534		378		
supper	593	563	590	530	250
supplication	236	324	326		
supply	534	368	340		417
support	556		359		
supposition	396	280	270		619
suppression	445	289	328		
sural	144	282	231	152	
sure	552	281	285	378	
surf	526	527	601	435	
surface	573	447	453		378
surplus	450		346		
surprise	583	326	451		322
surrender	488	356	432		386
surtax	304	393	290	225	
suspect	488	379	377		472
suspicion	470	265	386		478
suspicious	523		371		
swage	149	292	234	203	
swallow	531	547	554	439	308
swamp	438	570	600		
sward	155	364	207		650
swarm	463	406	488	425	
swayed	493	328	404	389	
sweat	545	569	560	457	
sweep	495	476	513	415	281
sweet	570	463	493	495	
swell	443	411	410		428
swift	507	338	460	493	
swim	550	482	572	435	256
swimming	560	548	635	502	
sword	444	577	597	387	342
swore	477		404		
sycamore	369	606	562		381
syllable	473	361	375		497
symbol	536	402	447	490	
symbolism	529	273	438	436	
symmetrical	440		456		
sympathetic	508	320	390	460	
sympathy	501	278	402		464
synagogue	431	545	498	430	
synod	215	399	229		683
system	588	356	340		461
table	599	604	582	423	
tablespoon	567	587	600		258
tacet	151	314	234	181	
tack	463	565	546	358	363
tail	533	613	551	473	
tailor	417	535	499		378
take	555	332	337	360	
tale	499	352	363	402	
talent	523	290	399		419
talented	533		387		
tales	529	445	466	503	
talk	613	422	453	566	
talkative	507		400		
tall	585	439	514	525	
tally	374	331	308		536
taluk	85	257	230	178	
tame	501	335	447	402	
tang	436	478	518	356	
tangerine	495	645	625	445	
tank	511	581	563	402	
tap	567	538	541	410	222
tape	567	564	573	426	406
taper	384	362	372	292	
tapis	118	312	193	141	
tar	491	597	550	346	
tariff	395		373		
tarn	251	399	299		606
tarnish	455	443	456	383	
task	514	409	410		392
taste	580	464	425	431	
tax	523	445	446	398	469
tea	572	609	599	449	
teach	552	353	429	455	
teacher	599	569	575	545	247
team	538	492	565	503	
tear	555	504	550	498	264
technicality	390	308	262		608
teem	323	340	346	245	
teeth	593	618	611	500	
telegraph	460	547	518		436
telephone	605	619	655	467	
telescope	461	592	596	410	
tell	596	306	350	465	
temerity	185	285	267	230	
temper	575	353	489		333
temperamental	414		393		
temperature	547	472	460	415	
tempest	375	460	514	390	
temple	450	565	547	427	
tempt	495	283	437	443	
temptation	494	265	391		454
tendency	507	243	261		525
tender	510		429		
tennis	528	574	634	492	
tense	531	365	422	430	
tent	521	608	593	452	283
tentative	442		266		
tenure	304	345	286	289	
term	575	374	387	450	394
terrible	605		422		
territory	465	459	445		486
terror	495	326	483		381
test	566	520	528	487	
testimony	508	381	377	390	
text	511	498	437		486
than	545	188	213	269	
thane	231	381	251		642
that	611	232	225	287	
thaw	492	368	466	416	381
the	625	237	209	212	
theft	499	361	436	484	386
their	607	257	255	310	
them	542	344	368	389	
theme	524	336	395	434	
then	610	190	204	272	
theologian	357	475	416		669
theoretical	487	264	334	357	
theory	534	287	317	408	557
there	603	216	283	277	
therefore	556	199	243	300	
thermometer	481	612	581	443	389
these	547	260	267	308	
they	607	316	312	336	
thick	573	386	468	428	
thicket	361	571	511		469
thief	529	519	529	480	322
thimble	397	529	570	360	
thin	570	392	502	474	
thing	587	350	358	479	
think	612	346	384	500	
thinker	474	403	405		408
thirsty	602	451	482	443	
this	601	240	279	303	
thistle	463	611	624		333
thong	335	543	448		553
thorn	454	586	600		
those	570	254	247	298	
thought	603	274	348	495	347
thoughtful	553	313	390	474	
thread	522	607	568	443	267
threat	524	335	408	380	394
three	581	439	495	398	
threw	557	333	421	403	
thrifty	461	297	381	402	
thrill	504	320	483		403
throat	548	578	561	388	
throe	205	240	299	198	
throng	377	400	452	360	
through	587	274	320	390	
throw	548	400	477	418	264
thud	456	423	453	352	
thumb	601	638	599		183
thunder	547	547	554	467	
thus	507	197	267	275	
thwart	361	340	324	332	
thyme	336	587	470	346	578
ticker	329		385		
ticket	586	590	574	443	294
tickle	524	473	492	371	
tidbit	388	489	448		
tide	504	516	530	408	331
tidy	490	311	478	472	
tie	559	568	551	432	
tiger	513	611	606	433	
tight	555	425	495	457	
till	442	365	364	353	
timber	440	578	553		403
time	604	343	413	453	
timepiece	421	577	568	487	
timid	473		404		
tin	575	593	532		286
ting	190	350	316		492
tip	493	459	483	374	328
tire	546	563	511	400	
tired	630		419		
tiresome	464		361		
title	523	384	413		375
to	613	199	220	245	
toad	516	568	591	415	
toast	571	582	594	402	
toaster	520	579	580	365	
tobacco	558	609	601	444	366
toe	578	607	620	469	194
toga	291		519		
together	603		426		
toil	468	386	393	405	
toilet	567	586	603	430	
token	473	467	416		450
told	531	318	286	329	
tolerant	498	265	335	402	
toll	485	424	419	371	
tomahawk	366	586	619		
tomato	574	662	610	489	
tomb	450	573	596	442	411
ton	501	473	475	477	386
tongue	531	634	621	438	
too	595	208	261	297	
tool	532	570	538	510	300
tooth	578	619	624	436	
top	571	435	486	477	
topic	539	366	364		483
topped	473		348		
torment	398	288	386		472
tornado	484	644	591	492	
tortoise	415	602	539	403	
torture	471	437	533		408
touch	590	417	456		269
tough	534	404	486	456	
tourist	536	533	577	498	
tow	468	409	406	340	
towel	570		570		
tower	463	585	596		353
town	589	556	553	565	
toy	550	567	569	505	164
trace	531	371	384	371	
track	514	547	499		383
traction	423	406	479		
tractor	518	590	585	418	
trade	537		390		
tradition	526	291	354	445	486
tragedy	521	331	478	477	
trail	508	511	525	466	386
trailer	528	597	587	363	
train	548	592	593	468	
trainer	458		482		
traitor	467	467	447	402	
trance	436	368	463	359	481
tranquil	479	334	508	462	
transfer	502	331	313		489
transform	495		305		
transformer	397	517	399		592
translation	495	366	340		556
transportation	487	403	430	570	528
trapeze	394	609	552	405	
trapezoid	411	494	518	359	
trash	541	588	599	498	
travel	550	402	506	520	
traveller	494	492	491		364
trawl	321	445	352	275	
tray	558	590	550	450	
treason	396		363		
treasurer	511	557	493	417	
treat	534	399	360	442	
treatment	529	343	408		433
treaty	372	361	321		536
tree	613	604	622	489	
trellis	208	574	544		
tremor	401	487	491		511
tremulous	256		324		
trend	503	328	373	368	
trey	256	389	287	164	
trial	509	446	516	433	433
triangle	512	523	597	425	
tribe	503	504	515	412	
tribute	420	339	386		
trick	531	391	459		308
tricycle	436				
tried	597		303		
trim	456	388	378		367
trip	559	448	520	550	314
tripod	363	577	574	338	
triumph	490	332	470	492	458
triumphant	473		426		
trolley	449	579	585	368	
trombone	481	606	579	417	
troop	470	509	498	456	406
trouble	590	310	395	475	322
troupe	363	479	404	338	
trout	479	617	617	430	394
truce	386	335	481		
truck	620	595	621		
true	605	269	365	475	
truism	398	276	292	310	
trumpet	490	608	628	468	
trunk	485	596	529		328
trust	548	300	356	460	400
trustworthy	460		337		
truth	581	261	374	452	
try	636	260	318		229
tube	539	581	564	416	
tuberculosis	461	519	426	392	
tuck	452	437	416		342
tuff	341	352	366	315	
tulip	546	619	641	470	
tumble	490	433	461	459	350
tun	141	211	235	183	
tune	545	464	463	487	
tunic	373	563	508	355	406
tunnel	541	555	578	393	
turmoil	431		429		
turn	583	359	384	347	233
turner	368	462	345		517
turpentine	483	604	587	368	
turtle	509	644	564	431	
tush	157	287	143		656
tusk	433	580	538	338	
twang	371	371	387	288	
tweed	429	570	540		419
tweezer	496	540	587	356	
tweezers	415	590	619		
twig	493	559	555	420	
twilight	423	467	588		411
twist	510	423	529	427	
two	596	383	445	389	
type	567	376	395	438	383
typewriter	524	611	615	415	389
typhoon	331	542	536		
typical	557	268	299	403	
tyranny	419	302	386	398	
tyrant	387	467	494		492
ugly	562	377	491	490	
ulcer	423	558	516		517
umbrella	511	606	592	400	306
umpire	542	581	572	482	
unanimity	269	250	216		661
unbelief	366	260	332		489
unbeliever	373	379	328		486
uncertainty	451	237	283		522
uncle	557	580	574	455	192
unclean	403		424		
unconcern	380	252	322		503
unction	239	308	213		669
under	544	319	426	405	
underbrush	251	470	307		575
undergraduate	530	500	518		639
understanding	559	269	377		442
undertaking	430	300	278		519
underworld	399	425	448		
undoing	396	257	283		439
undulation	309	368	369		614
uneasiness	451	229	411		475
unfair	588		264		
unhappiness	494	234	461		353
unification	353	266	323		647
uniform	484	550	591		331
union	595	449	526		503
unique	534	300	379	473	
unit	513	389	334		411
unite	494	309	474	443	
universal	560	339	356	487	
university	622	533	615	531	497
unjust	504	244	366	434	
unkempt	305		393		
unlearn	548	222	297		406
unknown	548	222	297		406
unlimited	532	263	390	490	
unnatural	462		305		
unpleasant	528		356		
unpleasantness	441	265	425		439
unpopular	500		307		
unreality	421	203	295	403	525
unrest	444	324	379	392	481
unstable	493		356		
unsuccessful	507	339	293	412	
untidy	515		458		
up	608	400	391	359	
upheaval	390	320	424		494
upholstery	380	570	478		508
upkeep	395	299	347		
upon	575	311	334	368	
upright	480	348	453	411	436
upset	536	282	416		329
upwards	507		366		
urban	518	420	476	500	
urchin	332	568	529		469
urn	369	551	510	350	442
us	618	397	428	410	
used	567	315	344	363	
useful	599		334		
usual	604	235	235		353
usurp	214	260	262	226	
usury	176	300	189		678
utensil	494	567	534		
utter	480	365	370	421	
utterance	357	358	313		539
vacant	534	318	475	495	
vacate	408	351	369	397	
vacation	495	414	559		458
vaccination	442	509	572		
vacuum	487	389	479		
vague	522	272	321	400	
vain	486	315	351	383	
vale	334	467	421	302	481
valley	515	575	600	458	339
valor	432	312	371	387	
valuable	558		422		
value	552	260	289		433
van	542	606	572		267
vane	411	400	377	310	
vanity	433	250	406		
vapour	455	499	493		533
variety	533	297	372		464
vary	485	258	272	347	
vase	452	595	563	388	297
vault	445	550	550	395	
veal	465	528	519	385	
vegetable	591	602	598	530	269
vehicle	534	558	593		
veil	421	560	516	379	414
vein	496	553	546	451	
velocity	436	352	417		
velvet	515	580	569	380	
velveteen	238	550	470		636
venom	375	476	456		531
venture	461	295	399		492
verb	534	337	357	431	436
verdict	98		337		
verdant	98		337		
verity	295	270	240		611
versatile	425		327		
verse	483	500	489		351
vertical	524	400	478	314	
very	606	223	243	307	
vessel	461	571	525		400
vest	472	575	581	378	
vestal	177		283		
vestibule	315	577	530		
vestment	318	404	365	318	
vet	456	485	494	382	
veteran	443		439		
veto	361	326	336		636
vial	371	485	424	330	
vice	457	399	413	422	517
vicious	440		441		
victim	511	467	521		423
victory	498	376	461	476	411
view	523	379	430	417	
vigil	370	353	426		550
vigilance	308	305	383		
vigour	426				
vile	404	379	444	393	
village	524	576	578	528	317
vine	411	601	564		425
vinegar	468	645	562	361	
violation	487	326	386		
violet	461	541	560	403	344
violin	468	626	606	479	
virtue	469	243	351		511
vise	368	402	432	295	
vision	529	395	440	440	411
visitor	560	482	499		311
vista	280		322		
vitriol	235	472	294		656
vivacious	344		407		
vivid	500		390		
vocation	458	349	404		
vodka	573	576	613	485	
voice	596	485	489		275
volcano	461	591	627	431	
volt	435	489	415	362	
volume	526	418	464		461
voluntary	558	309	327	427	
vote	567	389	477	443	486
voter	519	548	486	450	
vow	463	329	389	455	458
vulgar	507	359	420	505	
wad	354	479	370		525
wafer	430	536	484	370	
wage	539	451	466	479	428
wagon	443				
wail	426	439	452	426	
waist	540	563	530	402	325
wait	577	317	357	380	
waiting	564		383		
waive	460	337	350	331	
walk	625	452	505	470	206
walking	559	497	574	492	
wall	596	589	576	439	
wallet	558	584	617	421	
walnut	538	642	590	468	
walrus	506	629	590	420	
waltz	442	476	524	433	442
wampum	262	440	415	312	
wamus	89	276	213	154	
wand	381	570	513		272
wander	539	320	406	434	
want	606	302	361	472	
war	582	477	551	566	314
warbler	273	570	541		
ware	394	368	399	347	
warehouse	449	578	502		492
warm	613		441		
warmth	560	397	551		
warn	491	315	359	377	
warrior	368	525	553		374
wary	436	313	315	373	
was	604	194	264	272	
wash	632	447	522	511	186
waste	577	430	448	489	354
wasteful	476		373		
watch	576	487	525	445	
water	641	616	632	548	153
watt	436	350	370		578
wave	518	492	542	402	
wax	494	569	547	392	331
way	567	265	315	340	
we	614	270	389	427	
weak	562	351	414	466	
